time,5V voltage [V],5V current [mA],5V power [mW],Bat Voltage [V],Bat Current [mA],Bat Power [mW]
06:55:01.630123,3.512,0.00000,0.0000,0.884,-0.09146,0.0000
06:55:01.749192,3.512,0.09146,0.0000,0.884,-0.09146,0.0000
06:55:01.872248,3.556,0.00000,0.0000,0.888,-0.21341,0.0000
06:55:01.994846,3.556,0.00000,0.0000,0.888,-0.09146,0.0000
06:55:02.117251,3.540,-0.09146,0.0000,0.884,0.09146,0.0000
06:55:02.240698,3.540,0.00000,0.0000,0.884,-0.09146,0.0000
06:55:02.366328,3.540,0.00000,0.0000,0.884,0.00000,0.0000
06:55:02.516157,3.512,0.09146,0.0000,0.884,-0.09146,0.0000
06:55:02.638120,3.544,0.00000,0.0000,0.884,-0.21341,0.0000
06:55:02.754107,3.516,0.00000,0.0000,0.884,-0.21341,0.0000
06:55:02.869535,3.528,-0.09146,0.0000,0.884,-0.09146,0.0000
06:55:02.985044,3.516,0.09146,0.0000,0.884,-0.09146,0.0000
06:55:03.100373,3.508,0.00000,0.0000,0.884,-0.30488,0.0000
06:55:03.215854,3.584,0.00000,0.0000,0.884,0.00000,0.0000
06:55:03.339020,3.576,-0.09146,0.0000,0.888,-0.09146,0.0000
06:55:03.462772,3.572,-0.09146,0.0000,0.884,-0.09146,0.0000
06:55:03.590168,3.548,0.00000,0.0000,0.884,-0.09146,0.0000
06:55:03.729358,3.548,-0.09146,0.0000,0.884,0.00000,0.0000
06:55:03.862371,3.548,-0.09146,0.0000,0.884,-0.09146,0.0000
